"ISIC Rev. 4 label","Code","Section (1-digit)","Division (2-digit)","Group (3-digit)","Inclusions","Exclusions"
"Manufacture of grain mill products","1061","C Manufacturing","10 Manufacture of food products","106 Manufacture of grain mill products, starches and starch products","This class includes:
- grain milling: production of flour, groats, meal or pellets of wheat, rye, oats, maize (corn) or other cereal grains
- rice milling: production of husked, milled, polished, glazed, parboiled or converted rice; production of rice flo","This class excludes:
- manufacture of potato flour and meal, see 1030
- wet corn milling, see 1062"
"Manufacture of starches and starch products","1062","C Manufacturing","10 Manufacture of food products","106 Manufacture of grain mill products, starches and starch products","This class includes:
- manufacture of starches from rice, potatoes, maize etc.
- wet corn milling
- manufacture of glucose, glucose syrup, maltose, inulin etc.
- manufacture of gluten
- manufacture of tapioca and tapioca substitutes prepared from starch
-","This class excludes:
- manufacture of lactose (milk sugar), see 1050
- production of cane or beet sugar, see 1072"
"Manufacture of other food products","107","C Manufacturing","10 Manufacture of food products",,"This group includes the production of a variety of food products not included in previous groups of this division. This includes the production of bakery products, sugar and confectionery, macaroni, noodles and similar products, prepared meals and dishes,",
"Manufacture of bakery products","1071","C Manufacturing","10 Manufacture of food products","107 Manufacture of other food products","This class includes the manufacture of fresh, frozen or dry bakery products.

This class includes:
- manufacture of bread and rolls
- manufacture of fresh pastry, cakes, pies, tarts etc.
- manufacture of rusks, biscuits and other ""dry"" bakery products
- m","This class excludes:
- manufacture of farinaceous products (pastas), see 1074
- manufacture of potato snacks, see 1030
- heating up of bakery items for immediate consumption, see division 56"
"Manufacture of sugar","1072","C Manufacturing","10 Manufacture of food products","107 Manufacture of other food products","This class includes:
- manufacture or refining of sugar (sucrose) and sugar substitutes from the juice of cane, beet, maple and palm
- manufacture of sugar syrups
- manufacture of molasses
- production of maple syrup and sugar","This class excludes:
- manufacture of glucose, glucose syrup, maltose, see 1062"
"Manufacture of cocoa, chocolate and sugar confectionery","1073","C Manufacturing","10 Manufacture of food products","107 Manufacture of other food products","This class includes:
- manufacture of cocoa, cocoa butter, cocoa fat, cocoa oil
- manufacture of chocolate and chocolate confectionery
- manufacture of sugar confectionery: caramels, cachous, nougats, fondant, white chocolate
- manufacture of chewing gum
","This class excludes:
- manufacture of sucrose sugar, see 1072"
"Manufacture of macaroni, noodles, couscous and similar farinaceous products","1074","C Manufacturing","10 Manufacture of food products","107 Manufacture of other food products","This class includes:
- manufacture of pastas such as macaroni and noodles, whether or not cooked or stuffed
- manufacture of couscous
- manufacture of canned or frozen pasta products","This class excludes:
- manufacture of prepared couscous dishes, see 1075
- manufacture of soup containing pasta, see 1079"
"Manufacture of prepared meals and dishes","1075","C Manufacturing","10 Manufacture of food products","107 Manufacture of other food products","This class includes the manufacture of ready-made (i.e. prepared, seasoned and cooked) meals and dishes. These dishes are processed to preserve them, such as in frozen or canned form, and are usually packaged and labeled for re-sale, i.e. this class does ","This class excludes:
- manufacture of fresh foods or foods with only one main ingredient, see division 10
- preparation of meals and dishes for immediate consumption, see division 56
- activities of food service contractors, see 5629"
"Manufacture of other food products n.e.c.","1079","C Manufacturing","10 Manufacture of food products","107 Manufacture of other food products","This class includes:
- decaffeinating and roasting of coffee
- production of coffee products:
* ground coffee
* soluble coffee
* extracts and concentrates of coffee
- manufacture of coffee substitutes
- blending of tea and matÃÆÃÂ©
- manufacture of extracts a","This class excludes:
- growing of spice crops, see 0128
- manufacture of inulin, see 1062
- manufacture of perishable prepared foods of fruit and vegetables (e.g. salads, peeled vegetables, bean curd), see 1030
- manufacture of frozen pizza, see 1075
- ma"
"Manufacture of prepared animal feeds","108","C Manufacturing","10 Manufacture of food products",,"See class 1080.",
"Manufacture of prepared animal feeds","1080","C Manufacturing","10 Manufacture of food products","108 Manufacture of prepared animal feeds","This class includes:
- manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc.
- manufacture of prepared feeds for farm animals, including animal feed concentrates and feed supplements
- preparation of unmixed (single) feeds for far","This class excludes:
- production of fishmeal for animal feed, see 1020
- production of oilseed cake, see 1040
- activities resulting in by-products usable as animal feed without special treatment, e.g. oilseeds (see 1040), grain milling residues (see 106"
"Manufacture of beverages","11","C Manufacturing",,,"This division includes the manufacture of beverages, such as nonalcoholic beverages and mineral water, manufacture of alcoholic beverages mainly through fermentation, beer and wine, and the manufacture of distilled alcoholic beverages.

This division excl",
