product_hs92_code_4d,product_hs92_name_4d,product_hs92_code_2d,product_hs92_name_2d,product_hs92_code_1d,product_hs92_name_1d
2926,Nitrile-function compounds,29,Organic chemicals,5,Chemicals
2927,"Diazo-, azo-, or azoxy-compounds",29,Organic chemicals,5,Chemicals
2928,Organix derivatives of hydrazine,29,Organic chemicals,5,Chemicals
2929,Isocyanates,29,Organic chemicals,5,Chemicals
2930,Organo-sulfur compounds,29,Organic chemicals,5,Chemicals
2931,Other organo-inorganic compounds,29,Organic chemicals,5,Chemicals
2932,Heterocyclic compounds with oxygen hetero-atom(s) only,29,Organic chemicals,5,Chemicals
2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,29,Organic chemicals,5,Chemicals
2934,Nucleic acids and their salts,29,Organic chemicals,5,Chemicals
2935,Sulfonamides,29,Organic chemicals,5,Chemicals
2936,Vitamins,29,Organic chemicals,5,Chemicals
2937,Hormones,29,Organic chemicals,5,Chemicals
2938,Glycosides,29,Organic chemicals,5,Chemicals
2939,Vegetable alkaloids,29,Organic chemicals,5,Chemicals
2940,"Other sugars, chemically pure",29,Organic chemicals,5,Chemicals
2941,Antibiotics,29,Organic chemicals,5,Chemicals
2942,Other organic compounds,29,Organic chemicals,5,Chemicals
3001,Heparin for therapeutic use,30,Pharmaceutical products,5,Chemicals
3002,Serums and vaccines,30,Pharmaceutical products,5,Chemicals
3003,"Medicaments, not packaged",30,Pharmaceutical products,5,Chemicals
3004,"Medicaments, packaged",30,Pharmaceutical products,5,Chemicals
3005,"Wadding, gauze and bandages",30,Pharmaceutical products,5,Chemicals
3006,Pharmaceutical goods,30,Pharmaceutical products,5,Chemicals
3101,Animal or vegetable fertilizers,31,Fertilisers,5,Chemicals
3102,Nitrogenous fertilizers,31,Fertilisers,5,Chemicals
3103,Phosphatic fertilizers,31,Fertilisers,5,Chemicals
3104,Potassic fertilizers,31,Fertilisers,5,Chemicals
3105,Mixed fertilizers,31,Fertilisers,5,Chemicals
3201,Vegetable tanning extracts,32,"Dyes, paints, inks, etc.",5,Chemicals
3202,Synthetic tanning substances,32,"Dyes, paints, inks, etc.",5,Chemicals
3203,Coloring matter of animal or vegetable origin,32,"Dyes, paints, inks, etc.",5,Chemicals
3204,Synthetic organic coloring matter,32,"Dyes, paints, inks, etc.",5,Chemicals
3205,Color lakes,32,"Dyes, paints, inks, etc.",5,Chemicals
3206,Other coloring matter,32,"Dyes, paints, inks, etc.",5,Chemicals
3207,Prepared pigments,32,"Dyes, paints, inks, etc.",5,Chemicals
3208,"Paints and varnishes, nonaqueous",32,"Dyes, paints, inks, etc.",5,Chemicals
3209,"Paints and varnishes, aqueous",32,"Dyes, paints, inks, etc.",5,Chemicals
3210,Other paints and varnishes,32,"Dyes, paints, inks, etc.",5,Chemicals
3211,Prepared driers,32,"Dyes, paints, inks, etc.",5,Chemicals
3212,"Pigments, nonaqueous",32,"Dyes, paints, inks, etc.",5,Chemicals
3213,Artists' colors,32,"Dyes, paints, inks, etc.",5,Chemicals
3214,Glaziers' putty,32,"Dyes, paints, inks, etc.",5,Chemicals
3215,Ink,32,"Dyes, paints, inks, etc.",5,Chemicals
3301,Essential oils,33,Essential oils,5,Chemicals
3302,Mixtures of odoriferous subtances,33,Essential oils,5,Chemicals
3303,Perfumes,33,Essential oils,5,Chemicals
3304,Make-up preparations,33,Essential oils,5,Chemicals
3305,Hair products,33,Essential oils,5,Chemicals
3306,Dental hygiene products,33,Essential oils,5,Chemicals
3307,Toiletries,33,Essential oils,5,Chemicals
3401,Soap,34,"Soaps, waxes, and paints",5,Chemicals
3402,Cleaning products,34,"Soaps, waxes, and paints",5,Chemicals
3403,Lubricants,34,"Soaps, waxes, and paints",5,Chemicals
3404,Artificial and prepared waxes,34,"Soaps, waxes, and paints",5,Chemicals
3405,Polishes and creams,34,"Soaps, waxes, and paints",5,Chemicals
3406,Candles,34,"Soaps, waxes, and paints",5,Chemicals
3407,Modeling pastes,34,"Soaps, waxes, and paints",5,Chemicals
3501,Casein,34,"Soaps, waxes, and paints",5,Chemicals
3502,Albumins,35,Albuminoidals; modified starches; glues; enzymes,5,Chemicals
3503,Gelatin,35,Albuminoidals; modified starches; glues; enzymes,5,Chemicals
