ciiu,ciiu_descripcion,ciiu_clases_comparten,clases_comparten,razon_empleo_total
1811,Impresión (fabricación de señalamientos impresos),1313,323119,1.0038467021565658
1811,Impresión (fabricación de señalamientos impresos),1709,323119,1.0038467021565658
1811,Impresión (fabricación de señalamientos impresos),8219,323119,1.0038467021565658
8219,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina (servicios de acceso a computadoras)",1313,323119,1.0038467021565658
8219,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina (servicios de acceso a computadoras)",1709,323119,1.0038467021565658
8219,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina (servicios de acceso a computadoras)",1811,323119,1.0038467021565658
1910,Fabricación de productos de hornos de coque (fabricación de destilados de alquitrán),2011,325190,0.1753862237618237
1910,Fabricación de productos de hornos de coque (fabricación de destilados de alquitrán),2022,325190,0.1753862237618237
1910,Fabricación de productos de hornos de coque (fabricación de destilados de alquitrán),2029,325190,0.1753862237618237
1910,Fabricación de productos de hornos de coque (fabricación de destilados de alquitrán),2100,325190,0.1753862237618237
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",2011,"325190,325999",0.1753862237618237
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",1629,339940,0.05358820425903158
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",1399,339940,0.05358820425903158
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",1701,339940,0.05358820425903158
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",1709,339940,0.05358820425903158
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",2399,325999,0.1545991668118674
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",1910,325190,0.1753862237618237
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",2029,"325190,325999,325520",0.1753862237618237
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pinturas artísticas)",2100,325190,0.1753862237618237
